Timestamp,Stock,Action,Price,Quantity,Value,Capital_After
2026-05-17 13:34:41,HDFCBANK,BUY,767.5,13,9977.5,90022.5
2026-05-17 13:35:18,HDFCBANK,SELL,767.5,13,9977.5,100000.0
